opponent                                   W   L   ?   rate  tier
BSreenivas0713.musketeerplayerfinal        0   6   0   0.00  locked
IvanGeffner.thirtyone                      0   6   0   0.00  locked
JasonYe4273.finals                         0   5   1   0.00  locked
StoneT2000.sprinttuna                      0   4   2   0.00  locked
awesomelemonade.sprint1bot                 0   6   0   0.00  locked
edlwang.sprint2                            0   6   0   0.00  locked
mhahn2003.finals                           0   5   1   0.00  locked
mvpatel2000.biden                          0   6   0   0.00  locked
pranayagra.finalbot11                      0   6   0   0.00  locked
rqi3.qualification_bot                     0   6   0   0.00  locked
ryanbai1412.sprint_0                       0   6   0   0.00  locked
rzhan11.sprint2                            0   4   2   0.00  locked
winkelmantanner.tannerplayer               0   6   0   0.00  locked
Scott-Poole.spright8                       1  13   0   0.07  locked
VittalT.final_usqualplayer3_subm           1  13   0   0.07  locked
aidan-mundy.final_usqualplayer3_subm       1  13   0   0.07  locked
anshgs.ho4                                 1  13   0   0.07  locked
iyzg.sbot17                                1  13   0   0.07  locked
Victoriano012.SprintBot2                   2  12   0   0.14  locked
jmerle.camel_case_v7_sprint_2              2  12   0   0.14  locked
iliao2345.attacker                         3  11   0   0.21  roster
123kevinlee.atomFinalQualifier             4  13   1   0.24  roster
max-titov.sprintplayer                     3   9   2   0.25  roster
Sihal3.cavShieldv705                       5   9   0   0.36  roster
arya-k.quals_v1                            7   7   0   0.50  roster
astelmach20.piedPiper                      7   7   0   0.50  roster
nickel-dime.piedPiper                      7   7   0   0.50  roster
nsortur.piedPiper                          7   7   0   0.50  roster
qawsedrftgzh.battlecode2021                6   6   2   0.50  roster
ama29.v6                                   9   5   0   0.64  peer
ChiragKalra.gen5                          10   4   0   0.71  peer
TeamSerpentine.mars                       12   2   0   0.86  peer
Ahhorse1.WinstonPlayer                     8   0   0   1.00  peer
Aryan34.bot                                8   0   0   1.00  peer
Aryo-Patel.finalBot                        8   0   0   1.00  peer
BattlecodeTeam4.robotalpha                 6   0   0   1.00  peer
BoluAdubi.bot1                             6   0   0   1.00  peer
BryceKan3.bot.tournament.sprint            6   0   0   1.00  peer
JCRaymond.bot.tournament.sprint            6   0   0   1.00  peer
Mahpare.hackatrainee_v1                    6   0   0   1.00  peer
OliverMKing.bot.tournament.sprint          6   0   0   1.00  peer
SLaGrave.AlphaCentauri                     6   0   0   1.00  peer
Techno-coder.muckrakers                    6   0   0   1.00  peer
TylerQube.sandmenplayer                    6   0   0   1.00  peer
abhishekshree.bot2                         6   0   0   1.00  peer
alextheimer.player                         6   0   0   1.00  peer
angelaloh09.camelmanplayer                 6   0   0   1.00  peer
davidfang00.Rushbot3                       6   0   0   1.00  peer
diegorod9000.Newcomer                      6   0   0   1.00  peer
dominicmkennedy.playerj3                   6   0   0   1.00  peer
ehiggins98.initialbot                      6   0   0   1.00  peer
evan-schott.bugplayer                      6   0   0   1.00  peer
jay20162016.ecobot                         6   0   0   1.00  peer
jjtippetts.influencerforceplayer           6   0   0   1.00  peer
mama4294.Maloneplayer                      6   0   0   1.00  peer
mhbtz1.presprint                           6   0   0   1.00  peer
naalit.mukrush                             6   0   0   1.00  peer
paulmure.sprintplayer                      6   0   0   1.00  peer
raytran.dlmoreram010921                    6   0   0   1.00  peer
saivivekvenna.Ba_ba_booie                  6   0   0   1.00  peer
sasank02.framework3_mr_density             6   0   0   1.00  peer
thevaliantthird.bot1                       6   0   0   1.00  peer
unai-gurbindo.camelmanplayer               6   0   0   1.00  peer
woodstockcs.fanandflag                     6   0   0   1.00  peer
wstan2001.boundfinder                      6   0   0   1.00  peer

roster (9): iliao2345.attacker 123kevinlee.atomFinalQualifier max-titov.sprintplayer Sihal3.cavShieldv705 arya-k.quals_v1 astelmach20.piedPiper nickel-dime.piedPiper nsortur.piedPiper qawsedrftgzh.battlecode2021
