map,w,h,rounds,ecsA,ecsB,neutral,neutralInf,meanPass,swampFrac,symmetry,homeToEnemyDist,area
AmidstWe,64,64,1500,1,1,4,500,0.868,0.135,R,3.2,4096
Andromeda,63,64,1500,1,1,6,2300,0.748,0.252,Y,57.0,4032
Arena,32,32,1500,1,1,6,2140,0.703,0.297,R,38.2,1024
BadSnowflake,50,50,1500,2,2,4,400,0.733,0.286,R,9.9,2500
BattleCode,54,54,1500,1,1,6,2000,0.713,0.355,R,53.2,2916
BattleCodeToo,54,54,1500,1,1,6,1500,0.593,0.420,R,23.5,2916
BlobWithLegs,64,64,1500,1,1,6,1400,0.524,0.482,R,54.6,4096
Blotches,64,32,1500,2,2,2,648,0.438,0.615,R,14.8,2048
Bog,32,32,1500,1,1,4,320,0.767,0.193,R,31.0,1024
Branches,64,64,1500,1,1,6,1800,0.592,0.514,X,61.0,4096
ButtonsAndBows,64,64,1500,1,1,0,0,0.349,0.705,X,33.0,4096
CToE,32,64,1500,2,2,0,0,0.850,0.188,X,27.0,2048
Chevron,64,32,1500,3,3,4,1032,0.801,0.166,Y,27.0,2048
Circles,64,32,1500,2,2,2,746,0.475,0.548,R,26.0,2048
Corridor,33,40,1500,1,1,6,2200,0.682,0.361,RXY,35.0,1320
Cow,80,50,1500,2,2,6,900,0.852,0.152,X,55.0,4000
CowTwister,32,64,1500,1,1,2,300,0.245,0.725,R,50.0,2048
CringyAsF,37,64,1500,1,1,4,200,0.886,0.129,Y,35.0,2368
CrossStitch,64,64,1500,1,1,4,1100,0.480,0.815,X,5.0,4096
CrownJewels,64,32,1500,1,1,6,1400,0.898,0.107,X,51.0,2048
EggCarton,63,31,1500,2,2,2,1000,0.361,0.669,R,43.1,1953
ExesAndOhs,64,42,1500,1,1,6,1700,0.826,0.198,Y,23.0,2688
Extensions,64,64,1500,1,1,6,1200,0.488,0.566,R,53.2,4096
FindYourWay,32,64,1500,1,1,4,600,0.470,0.525,Y,59.0,2048
FiveOfHearts,64,64,1500,1,1,6,2400,0.845,0.050,X,37.0,4096
Flawars,64,36,1500,2,2,4,1100,0.599,0.566,R,27.3,2304
FrogOrBath,32,32,1500,2,2,4,600,0.753,0.293,X,25.0,1024
GetShrekt,64,64,1500,2,2,4,800,0.787,0.171,R,55.2,4096
Goldfish,63,37,1500,1,1,6,1602,0.898,0.088,X,42.0,2331
Gridlock,64,64,1500,1,1,6,1200,0.714,0.134,X,59.0,4096
HappyBoba,32,40,1500,2,2,6,600,0.642,0.491,X,9.0,1280
HexesAndOhms,48,64,1500,1,1,4,600,0.819,0.229,R,36.2,3072
Hourglass,48,48,1500,1,1,4,2000,0.640,0.304,X,25.0,2304
Illusion,35,36,1500,1,1,4,602,0.504,0.494,RXY,48.8,1260
InaccurateBritishFlag,64,36,1500,2,2,4,800,0.647,0.336,X,63.0,2304
JerryIsEvil,64,50,1500,2,2,4,1100,0.680,0.401,X,61.0,3200
Legends,50,50,1500,1,1,6,900,0.561,0.245,R,58.0,2500
Licc,64,56,1500,1,1,4,300,0.336,0.710,Y,27.0,3584
MainCampus,37,64,1500,1,1,4,300,0.470,0.620,Y,37.0,2368
Mario,49,38,1500,2,2,3,450,0.608,0.425,X,28.0,1862
Maze,45,45,1500,2,2,4,2000,0.596,0.448,R,56.6,2025
Misdirection,50,50,1500,2,2,4,800,0.405,0.672,X,45.0,2500
Networking,64,32,1500,1,1,4,2000,0.453,0.607,R,27.3,2048
NextHouse,64,32,1500,1,1,0,0,0.579,0.604,R,42.5,2048
NoInternet,48,32,1500,1,1,4,1700,0.592,0.254,R,42.4,1536
NotAPuzzle,64,64,1500,1,1,6,1500,0.797,0.162,R,58.3,4096
OneCallAway,50,32,1500,2,2,4,200,0.382,0.744,X,9.0,1600
PaperWindmill,48,48,1500,2,2,6,1400,0.806,0.168,R,29.2,2304
Punctuation,48,64,1500,1,1,4,1100,0.759,0.258,R,39.2,3072
Radial,37,37,1500,3,3,0,0,0.562,0.430,R,32.3,1369
Rainbow,50,32,1500,1,1,2,160,0.724,0.075,X,29.0,1600
Randomized,50,50,1500,3,3,4,1600,0.545,0.450,R,5.1,2500
Saturn,54,39,1500,2,2,4,600,0.693,0.337,R,45.2,2106
